Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2023",,,,,,,,,,,,,

Distribution account,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,Total
Income,,,,,,,,,,,,,
CONSIGN Sales,,,,,,,,,,,,261.24,261.24
Consignment Sales,"102,560.48","84,663.24","281,667.36","241,866.44","267,673.06","165,343.28","257,932.89","252,074.09","221,750.48","306,791.63","370,981.09","323,757.52","2,877,061.56"
Consignment Sales Cost,"-70,913.79","-81,229.53","-219,390.54","-214,698.11","-234,411.55","-136,767.18","-188,716.28","-267,584.78","-173,555.97","-327,676.51","-292,741.06","-420,943.94","-2,628,629.24"
Customer Service,162.00,107.95,30.00,25.00,14.00,30.00,5.00,16.00,183.98,330.00,112.85,116.99,"1,133.77"
Sales Channel Fees,"1,372.66","1,377.64","1,308.73","3,797.70","3,174.15","2,267.14","2,201.24","3,020.48","2,342.11","3,786.82","5,657.21","4,283.75","34,589.63"
Storage Income,"14,839.41","17,409.24","19,514.07","18,622.41","17,079.82","18,313.18","15,866.35","22,398.68","20,039.76","25,905.35","26,933.41","13,254.43","230,176.11"
Transactional Fees,"4,124.75","4,664.56","12,888.15","11,813.35","13,265.07","7,317.66","8,832.83","12,814.53","8,124.59","18,058.53","15,306.09","17,163.44","134,373.55"
Total for CONSIGN Sales,"52,145.51","26,993.10","96,017.77","61,426.79","66,794.55","56,504.08","96,122.03","22,739.00","78,884.95","27,195.82","126,249.59","-62,106.57","$648,966.62"
FULL Sales,,,,,,,,,,,,,
Fulfillment Services,"16,449.25","12,024.53","34,938.94","23,671.99","31,139.91","21,462.44","23,232.17","29,482.26","7,588.45","44,730.46","31,236.79","28,337.30","304,294.49"
Packaging Income,876.96,"1,465.87","1,720.18","1,817.51","1,116.86","1,048.73","1,210.89","1,233.40",839.80,814.07,"2,683.03","5,681.72","20,509.02"
Total for FULL Sales,"17,326.21","13,490.40","36,659.12","25,489.50","32,256.77","22,511.17","24,443.06","30,715.66","8,428.25","45,544.53","33,919.82","34,019.02","$324,803.51"
Gift Cards,,,,,,,200.00,,,690.00,14.47,,904.47
MFTR Sales,,,,,626.00,,,,,,0.00,,626.00
