Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2026",,,,,,,,,,,,,

Distribution account,January 2026,February 2026,March 2026,April 2026,May 2026,June 2026,July 2026,August 2026,September 2026,October 2026,November 2026,December 2026,Total
Income,,,,,,,,,,,,,
CONSIGN Sales,,,,,,,,,,,,,
Consignment Sales,"98,179.37","63,257.92",,,,,,,,,,,"161,437.29"
Consignment Sales Cost,0.00,,,,,,,,,,,,0.00
Customer Service,94.07,,,,,,,,,,,,94.07
Storage Income,"7,171.48",,,,,,,,,,,,"7,171.48"
Transactional Fees,0.00,,,,,,,,,,,,0.00
Total for CONSIGN Sales,"105,444.92","63,257.92",,,,,,,,,,,"$168,702.84"
FULL Sales,5.25,,,,,,,,,,,,5.25
Fulfillment Services,"9,369.36",0.00,,,,,,,,,,,"9,369.36"
Packaging Income,"5,348.59",,,,,,,,,,,,"5,348.59"
Total for FULL Sales,"14,723.20",0.00,,,,,,,,,,,"$14,723.20"
MFTR Sales,,,,,,,,,,,,,
Art Design Sales,622.50,232.00,,,,,,,,,,,854.50
Blanks Sales,"72,969.40","5,805.19",,,,,,,,,,,"78,774.59"
Credit Card Surcharge,"1,051.87",61.06,,,,,,,,,,,"1,112.93"
DTG Printing,775.00,,,,,,,,,,,,775.00
Embroidery Sales,"4,747.34",99.00,,,,,,,,,,,"4,846.34"
Paper Printing Sales,"13,072.00","1,109.00",,,,,,,,,,,"14,181.00"
Promotional Product Sales,"4,145.84",340.00,,,,,,,,,,,"4,485.84"
Sales Discounts,"-13,697.35",,,,,,,,,,,,"-13,697.35"
Screenprinting Sales,"29,265.07","2,651.09",,,,,,,,,,,"31,916.16"
Setup,"2,586.00",413.00,,,,,,,,,,,"2,999.00"
Sticker Sales,760.93,,,,,,,,,,,,760.93
Total for MFTR Sales,"116,298.60","10,710.34",,,,,,,,,,,"$127,008.94"
OTHER Sales,,,,,,,,,,,,,
Outside Sales Commission,"2,652.50",,,,,,,,,,,,"2,652.50"
Total for OTHER Sales,"2,652.50",,,,,,,,,,,,"$2,652.50"
SHIPPING Sales,0.00,0.00,,,,,,,,,,,0.00
E-Commerce Postage,"10,388.70","10,907.40",,,,,,,,,,,"21,296.10"
Freight Revenue,"4,815.61",197.67,,,,,,,,,,,"5,013.28"
Fulfillment Postage,"23,767.46","4,116.46",,,,,,,,,,,"27,883.92"
Total for SHIPPING Sales,"38,971.77","15,221.53",,,,,,,,,,,"$54,193.30"
Uncategorized Income,111.91,,,,,,,,,,,,111.91
Total for Income,"278,202.90","89,189.79",,,,,,,,,,,"$367,392.69"
Cost of Goods Sold,,,,,,,,,,,,,
CONSIGN Costs,,,,,,,,,,,,,
Transactional Costs,"2,275.34",665.58,,,,,,,,,,,"2,940.92"
Total for CONSIGN Costs,"2,275.34",665.58,,,,,,,,,,,"$2,940.92"
MFTR Costs,,,,,,,,,,,,,
Blanks Costs,"35,623.35",,,,,,,,,,,,"35,623.35"
DTG Costs,"1,074.99",24.99,,,,,,,,,,,"1,099.98"
Embroidery Costs,967.00,344.85,,,,,,,,,,,"1,311.85"
Paper Printing Costs,"41,199.30",,,,,,,,,,,,"41,199.30"
Promo Products Cost,"5,275.85",417.21,,,,,,,,,,,"5,693.06"
Screenprinting Costs,"11,876.88","1,019.13",,,,,,,,,,,"12,896.01"
Total for MFTR Costs,"96,017.37","1,806.18",,,,,,,,,,,"$97,823.55"
SHIPPING Costs,,,,,,,,,,,,,
E-Comm & Fulfillment Postage,"25,505.77","5,994.48",,,,,,,,,,,"31,500.25"
Freight Costs,"5,911.34",,,,,,,,,,,,"5,911.34"
Total for SHIPPING Costs,"31,417.11","5,994.48",,,,,,,,,,,"$37,411.59"
Total for Cost of Goods Sold,"129,709.82","8,466.24",,,,,,,,,,,"$138,176.06"
Gross Profit,"148,493.08","80,723.55",,,,,,,,,,,"$229,216.63"
Expenses,,,,,,,,,,,,,
Bank & Credit Card Fees,"1,078.52","1,377.89",,,,,,,,,,,"2,456.41"
Bank Service Charges,22.00,,,,,,,,,,,,22.00
QuickBooks Payments Fees,996.41,537.33,,,,,,,,,,,"1,533.74"
Total for Bank & Credit Card Fees,"2,096.93","1,915.22",,,,,,,,,,,"$4,012.15"
Contract Labor,"13,776.44",,,,,,,,,,,,"13,776.44"
Dues & Subscriptions,"-1,844.19",,,,,,,,,,,,"-1,844.19"
Insurance,,,,,,,,,,,,,
Health,"12,303.75",,,,,,,,,,,,"12,303.75"
Liability Insurance,"1,850.11",,,,,,,,,,,,"1,850.11"
Workers Comp,415.00,,,,,,,,,,,,415.00
Total for Insurance,"14,568.86",,,,,,,,,,,,"$14,568.86"
Interest Expense,256.09,,,,,,,,,,,,256.09
Payroll Expenses,,,,,,,,,,,,,
Taxes,"6,630.12",,-0.02,,,,,,,,,,"6,630.10"
Wages,"83,047.19",,,,,,,,,,,,"83,047.19"
Total for Payroll Expenses,"89,677.31",,-0.02,,,,,,,,,,"$89,677.29"
